,gold_sents,oreo_pegasus_output_sents
249,"This putative class-action lawsuit, brought by inmates in Orange County Jail, argued that county and the sheriff violated the U.S. Constitution, the Americans with Disabilities Act, and Section 504 of the Rehabilitation Act in failing to provide adequate care amidst the 2020 coronavirus pandemic.[SENTMARKER]Plaintiffs sought habeas corpus, injunctive relief, declaratory relief, and attorneys' fees and costs.[SENTMARKER]The district court granted class certification and partially granted a temporary restraining order and preliminary injunction, which mandated more social distancing, providing for more PPE, and improved sanitation policies.[SENTMARKER]The defendants appealed this decision to the Ninth Circuit, and applied in both the district court and the Ninth Circuit to stay the case in the lower court until the appeals court had ruled.[SENTMARKER]Both denied these applications, however the Ninth Circuit remanded to the district court saying that the defendants could try to modify the injunction if there were any changed circumstances.[SENTMARKER]Defendants did so, but the district court denied any modifications once again.[SENTMARKER]The defendants appealed this decision to the Ninth Circuit, which likewise rejected the defendants' motion.[SENTMARKER]Finally, the defendants went to the Supreme Court and asked them to stay the injunction while the Ninth Circuit heard the case on the merits.[SENTMARKER]The Supreme Court obliged on August 5, staying the injunction.[SENTMARKER]The case is ongoing as of February 17, 2021.","On April 30, 2020, ten inmates at the Orange County Jail filed a class action habeas corpus case in the U.S. District Court for the District of California seeking emergency injunctive relief against Defendants.[SENTMARKER]On June 25, the district court granted the motion for expedited discovery and denied the applicants’ motion.[SENTMARKER]On August 5, 2020, the United States Supreme Court stayed the District Court’s preliminary injunction pending disposition on the merits of this appeal and any petition for writ of certiorari, if timely sought.[SENTMARKER]A stay was issued by the Supreme Court in August 2020."
250,"In 2006, inmates in the D.C. Jail filed this 42 U.S.C. § 1983 class action suit in the District Court for the District of Columbia.[SENTMARKER]The plaintiffs claimed that D.C. Jail violated their Constitutional rights by detaining them beyond their release dates and conducting blanket strip searches.[SENTMARKER]In 2014, after summary judgment rulings and a jury trial in 2013, the parties settled the case and D.C. agreed to pay the plaintiffs $6.2 million.","Former inmates of the District of Columbia's jails filed a class action lawsuit against the District in 1983 alleging that overdetentions and strip searches violated their civil rights.[SENTMARKER]The District moved for summary judgment, but the Court denied the motion, and the parties settled the case in 1983.[SENTMARKER]The District has agreed to pay for notice."
251,"In 2002, nine female plaintiffs, represented by private counsel, filed this 42 U.S.C §1983 class action lawsuit in the U.S. District Court for the District of Columbia.[SENTMARKER]The plaintiffs challenged the practice of the U.S.[SENTMARKER]Marshal's Service and the District of Columbia of conducting blanket strip, visual body cavity, and/or squat searches (""strip searches"") of female arrestees that were being held in the Superior Court Cell Block of the D.C. Superior Court while awaiting presentment before a judicial officer.[SENTMARKER]After granting the plaintiffs class certification, the District Court granted summary judgment to the defendants on all claims.","In 1983, a class action was filed in the U.S. District Court for the District of Columbia on behalf of individuals who were arrested in the District and taken to the Superior Court for presentment on D.C. warrants or code offenses and who were subjected to blanket strip, visual body cavity and/or squat searches while being held in the Cell Block of the D.[SENTMARKER]Superior Court awaiting presentment before a judge or other judicial officer.[SENTMARKER]The district court entered summary judgment in favor of the District.[SENTMARKER]Following class certification, the district court dismissed the case."
252,"D.C. jail denies accommodation to plaintiff while they were incarcerated.[SENTMARKER]As a result, the plaintiff could not participate in the court-ordered rehabilitation services offered by the jail.[SENTMARKER]The D.C. jail later placed the plaintiff in voluntary solitary confinement without communicating to him that his solitary confinement was voluntary.[SENTMARKER]The court found in favor of the plaintiff on summary judgment and a subsequent jury trail awarded him $70,000 in damages.","Plaintiff filed this suit in the U.S. District Court for the District of Massachusetts against the Massachusetts Department of Corrections (MDOC) alleging that the MDOC violated his civil rights by failing to provide him with an interpreter during his disciplinary proceedings.[SENTMARKER]He was held in solitary confinement for two weeks during which he was unable to participate fully in his case.[SENTMARKER]The court granted summary judgment in favor of the defendant, finding that his request for an interpreter was sufficient to put MDOC on notice of his claim that he could not fully participate in future proceedings without an interpreter."
253,"In 2009, inmates of the Manatee County Jail challenged the constitutionality of a post-card only jail policy in the United States District Court for the Middle District of Florida.[SENTMARKER]In 2010, the court ruled that the policy was reasonably related to penological interests.[SENTMARKER]The plaintiffs moved for reconsideration, but as of October 15, 2016, the Court had not issued any orders regarding the motion.","On July 9, 2010, a group of inmates at the Manatee County Jail filed a complaint in the U.S. District Court for the Middle District of Florida, Tampa Division, alleging that the jail's post-card only mail policy violated their constitutional rights by denying them access to contact visits.[SENTMARKER]The case was dismissed on July 9, 2010 on the grounds that the policy was not related to legitimate penological interests.[SENTMARKER]The parties then filed a motion for reconsideration, which was denied."
254,"In 1999, inmates at the Foster County Jail in Atlanta, Georgia, who had tested positive for HIV, filed this class action lawsuit against county officials.[SENTMARKER]The plaintiffs, represented by the Southern Center for Human Rights, brought the suit in the U.S. District Court for the Northern District of Georgia under 42 U.S.C. § 1983.[SENTMARKER]In 2000, the parties reached a settlement agreement that required improved medical care and reduced overcrowding.","The Southern Center for Human Rights filed this class action lawsuit in the U.S. District Court for the Northern District of Georgia on behalf of HIV-positive inmates at the Fulton County Jail in Atlanta, Georgia.[SENTMARKER]The plaintiffs alleged that the defendants had violated the Eighth and Fourteenth Amendments by failing to provide adequate medical care to the inmates.[SENTMARKER]The defendants hired an on-site physician to provide medical care for the inmates, but the plaintiffs allege that the county had failed to provide the medical care that was required by law.[SENTMARKER]The district court granted the plaintiffs' motion for partial summary judgment, and the parties agreed to a settlement in which the defendants agreed to pay the plaintiffs in full."
255,"On January 27, 2009, current and former detainees at the Cook County Jail filed a lawsuit against the Sheriff of Cook County and Cook County, IL in the U.S. District Court for the Northern District of Illinois.[SENTMARKER]The plaintiffs asked the court for damages and injunctive relief to improve their dental treatment.[SENTMARKER]In May 2018, the parties reached a settlement whereby the defendant County would establish a settlement fund in the amount of $5,563,000.[SENTMARKER]The case is ongoing.","This case was brought in the U.S. District Court for the Northern District of Illinois on January 27, 2009 against the Sheriff of Cook County and Cook County, Illinois.[SENTMARKER]The plaintiffs alleged that the defendants violated their rights under the Fourteenth Amendment by failing to provide medical and dental care to prisoners at the Cook County Jail.[SENTMARKER]The court ruled in favor of the plaintiffs in May 2010 and the case is ongoing."
256,"In June 2014, an inmate at the Cook County Jail filed a class action lawsuit under 42 U.S.C. § 1983 against Cook County.[SENTMARKER]The plaintiff sought compensatory damages, punitive damages, attorneys' fees, and costs, alleging overcrowding and lack of funding that led to violations of Indiana state law and the Eighth and Fourteenth Amendments.[SENTMARKER]The court dismissed the case based on counsel's representation that the alleged counts were unsupported.[SENTMARKER]The case is now closed.","In 1983, a former inmate of Cook County Jail filed a lawsuit in the U.S. District Court for the Northern District of Illinois against the Cook County Sheriff's Office and Cook County, alleging that the jail was overcrowded and that the county was violating the federal civil rights statute.[SENTMARKER]The case was dismissed on the basis of counsel's representation that the two counts alleged in the complaint were unsupported."
257,"In 2014, individuals who were incarcerated in the Marion County correctional system filed this class-action lawsuit in the US District Court for the Southern District of Indiana.[SENTMARKER]The plaintiffs sued the Marion County sheriff under 42 U.S.C. § 1983.[SENTMARKER]The plaintiffs sought monetary relief pursuant to 42 U.S.C. § 1983 against the Marion County Sheriffs Office.[SENTMARKER]The plaintiffs claimed that they were incarcerated for longer than legally authorized as a result of unreasonable processing and release procedures.[SENTMARKER]The case is ongoing.",This action was brought pursuant to 42 U.S.C. 1983 and premised on the fourteenth amendment to the United States Constitution.[SENTMARKER]The plaintiff alleged that the Marion County Sheriff's practice of instituting a 72 hour release time period and employing unreasonable release procedures and processes caused the plaintiff to be incarcerated longer than legally authorized.[SENTMARKER]The case was dismissed by the court of appeals.
258,"Built in 1991, the Campbell County Detention Center was designed to hold 135 prisoners.[SENTMARKER]It quickly became overcrowded.[SENTMARKER]In the weeks before this lawsuit was filed in the district court for the Eastern District of Kentucky, on April 29, 2005, the jail's population reached a high of 276 prisoners, many of whom were forced to sleep on the floor.[SENTMARKER]Many of the inmates were awaiting transfer to the Kentucky Department of Corrections (KDOC), which was also named as a defendant in the lawsuit.[SENTMARKER]The KDOC addressed overcrowding at the jail by simply reducing the required floor space for each prisoner from 50 to 40 square feet.[SENTMARKER]This lawsuit, filed pursuant to 42 U.S.C. § 1983 by attorney Robert B. Newman of the Cincinnati, Ohio, law firm Newman & Meeks, alleged the overcrowding violated the prisoners' Eighth and Fourteenth Amendment rights.[SENTMARKER]The plaintiffs, the class of inmates at the detention center, sought injunctive relief and nominal damages.","On April 18, 2005, a class action was filed in the U.S. District Court for the Eastern District of Kentucky against the Campbell County Detention Center.[SENTMARKER]The plaintiffs alleged that they were subject to unconstitutional conditions of confinement at the detention center as a result of the number of inmates housed there.[SENTMARKER]The complaint alleged that their rights under the Eighth and Fourteenth Amendments to the United States Constitution were being violated by the overcrowding at the jail."
259,"In April 2020, pretrial and post-conviction detainees at Prince George's County Jail filed this class action complaint in the U.S. District Court for the District of Maryland.[SENTMARKER]The plaintiffs alleged that in light of COVID-19, they were being held in conditions that violated their Eighth and Fourteenth Amendment Rights.[SENTMARKER]A subclass of pretrial, medically vulnerable plaintiffs also alleged that they are being held in violation of the Due Process Clause of the Fourteenth Amendment.[SENTMARKER]On May 21, the court granted in part the plaintiff's motion for temporary restraining order.[SENTMARKER]Defendant appealed and were denied a stay pending their appeal.[SENTMARKER]On July 7, the plaintiffs submitted an amended complaint, pointing to the lack of mental health services during an indefinite lockdown.[SENTMARKER]The parties filed a joint motion to stay proceedings on August 27 pending settlement talks.[SENTMARKER]The case is ongoing.","On April 30, 2020, a class of pretrial and postconviction prisoners at the Prince George's County Jail in Maryland filed this civil rights lawsuit in the U.S. District Court for Arizona.[SENTMARKER]The plaintiffs alleged that the jail was holding them in violation of the Due Process Clause of the Fourteenth Amendment to the Constitution of the United States.[SENTMARKER]They alleged that there were no mental health services and that the conditions that would mitigate the risk to all detainees, including the [medically vulnerable] subclass, were inadequate.[SENTMARKER]On May 21, 2020, the court granted a temporary restraining order granting relief on the plaintiffs' claims.[SENTMARKER]On July 7, 2015, the court denied a motion for stay pending appeal.[SENTMARKER]The case is now closed."
260,"On April 8, 2005, two inmates at the Camden County Jail in New Jersey filed a class action lawsuit against the Sheriff of the jail and Camden County officials in which they alleged that the defendants had violated plaintiffs' constitutional rights by strip searching them at the jail.[SENTMARKER]On March 27, 2006, the District Court (Magistrate Judge Joel B. Rosen) dismissed without prejudice the City of Camden, the Camden City Police Department, and the police chief, and the deputy police chief.[SENTMARKER]On June 9, 2008, Judge Rodriguez approved a settlement and dismissed the case.","This is a proposed settlement of a class action lawsuit alleging that corrections officers employed at the Camden County Correctional Facility engaged in the practice of illegally strip searching all individuals charged with non-indictable or minor offenses upon their entry into the facility from April 8, 2003 until April 27, 2005.[SENTMARKER]The suit was filed in the U.S. District Court for the District of New Jersey against the County of Camden, the County Sheriff's Office, and the Police Department of the City of Camden."
261,"In March of 2002, the Civil Rights Division of the U.S. Department of Justice, acting pursuant to the Civil Rights of Institutionalized Persons Act (""CRIPA""), 42 U.S.C. § 1997 et seq., commenced an investigation into the conditions of confinement at the Santa Fe County Adult Detention Center in Santa Fe, New Mexico.[SENTMARKER]The DOJ concluded that the conditions and practices at the Detention Center violated the constitutional rights of convicted inmates and pre-trial detainees.[SENTMARKER]On November 11, 2004, the DOJ and Sante Fe County entered into a Memorandum of Agreement, which detailed the agreed reforms and set forth timetables for completion.[SENTMARKER]By its terms, the Agreement was to last for a period of three years, and remedy unconstitutional practices relating to: (1) medical and mental health care; .[SENTMARKER](2) suicide prevention; .[SENTMARKER](3) protection of inmates from harm; .[SENTMARKER](4) fire safety; .[SENTMARKER](5) sanitation; and (6) inmate grievance procedures (including court access).[SENTMARKER]On November 1, 2009, after a two year extension to compel Santa Fe County to meet the benchmarks in the agreement, the DOJ allowed the terms of the agreement to expire.[SENTMARKER]The DOJ is no longer monitoring the county.","On March 20, 2002, the Department of Justice (DOJ) filed this suit in the U.S. District Court for the District of New Mexico against Santa Fe County and its elected officials, employees, agents, and contractors responsible for the operation of the Santa Fe Adult Detention Center (SFCADC) pursuant to the Civil Rights of Institutionalized Persons Act of 1997 (CRIPA).[SENTMARKER]The DOJ alleged that the SFCADC violated the CRIPA by failing to provide adequate medical and mental health care, suicide prevention, protection of inmates from harm, fire safety, and sanitation, as well as the constitutional rights of inmates.[SENTMARKER]The County denied the allegations and entered into a Memorandum of Agreement (MOA) with the DOJ in November 2004 to resolve the DOJ's investigation and ensure constitutional conditions of confinement at SFC ADC.[SENTMARKER]The Court granted the County's motion for partial summary judgment and entered a final judgment in favor of the County."
262,"This class action was brought on behalf of people with mental disabilities arrested and detained in the Doña Ana County Detention Center (“DACDC”), to redress violations of their constitutional rights, the ADA, and the Rehabilitation Act. After two years of settlement talks, the parties reached a settlement agreement..","On January 15, 2010, the United States District Court for the District of New Mexico entered a final judgment against the Doa Ana County Detention Center (DACDC) for violating the Americans with Disabilities Act (ADA) and Section 504 of the Rehabilitation Act (Section 504) by imposing undue and disproportionate hardships on individuals with mental disabilities.[SENTMARKER]The final judgment was entered on January 15, 2010 and enjoined the defendants from violating the ADA and Rehabilitation Act.[SENTMARKER]The class-action lawsuit was brought on behalf of individuals who were arrested and detained in the DACDC.[SENTMARKER]The plaintiffs alleged that the defendants' violations of the ADA, as set forth above, also violated Section 504, which also violated the ADA.[SENTMARKER]The defendants agreed to pay the plaintiffs in the amount of $75,000."
263,"This case was brought by a woman who was arested, subjected to excessive force and a strip/cavity search all on the basis of a false complaint filed by a family member.[SENTMARKER]A jury awarded her $19,645 in compensatory damages and $5,000,000 in punitive damages.[SENTMARKER]On appeal, the Court of Appeals for the Second Circuit reversed the punitive damages award as not available against municipalities, and reduced the compensatory damages award because Plaintiff had been offered slightly more as settlement.","In 1983, a woman sued the City of New York under 42 U.S.C.  1983 for an unlawful strip search of her person.[SENTMARKER]The jury awarded her $19,645 in compensatory damages for violating her right against unreasonable search and seizure, as well as punitive damages in the amount of $5,000,000.[SENTMARKER]On appeal, the Second Circuit reversed the award of punitive damages, citing City of Newport v. Fact Concerts, Inc., 453 U. S.[SENTMARKER]Fact Concerts, Inc., 453 U. S.[SENTMARKER]247, 101 Ct."
264,"In 2009, former inmates at the Delaware County Jail filed a lawsuit in the U.S. District Court for the Northern District of Oklahoma.[SENTMARKER]The plaintiffs alleged that the Sheriff's Office of Delaware County was guilty of rape, sodomy, sexual battery, and blackmail.[SENTMARKER]The alleged negligence and misconduct of jailers deprived inmates of their the Fourth, Fifth, and Fourteenth Amendments Rights.[SENTMARKER]The parties reached a settlement in 2011 for monetary damages.[SENTMARKER]The case closed in May 2012.","Plaintiff Marie Watson was an inmate at the Delaware County Jail from May 20, 2008 through July 11, 2008 when she was raped, sodomy, sexual battery and blackmailed by two female jailers.[SENTMARKER]She filed this suit in the U.S. District Court for the Northern District of Oklahoma against the Sheriff of Delaware County, the Sheriff's Office, and the jailers for violating her constitutional rights.[SENTMARKER]The suit alleged that the Sheriff was liable for the negligence and misconduct of jailers as of other deputies.[SENTMARKER]The case was settled in July 2008 when the Sheriff agreed to pay Watson and the other jailers a total of $2,100.[SENTMARKER]The settlement was subject to court approval."
265,"On April 21, 2005, a woman filed a class action lawsuit under 42 U.S.C. § 1983 in the U.S. District Court for the Eastern District of Pennsylvania.[SENTMARKER]She alleged that the City of Philadelphia of had an unconstitutional practice of strip searching all pre-trial detainees, regardless of criminal charge or reasonable suspicion.[SENTMARKER]On February 20, 2009, the parties entered into a $5.9 million settlement.[SENTMARKER]<br />The Court entered final approval of the settlement on November 3, 2009.","On April 21, 2005, a class action was filed in the U.S. District Court for the Eastern District of Pennsylvania on behalf of pre-trial detainees remanded to the custody of the Philadelphia Prison System.[SENTMARKER]The plaintiffs alleged that Philadelphia's strip search policies violated the plaintiffs' constitutional rights by subjecting them to blanket strip searches, regardless of criminal charge or reasonable suspicion.[SENTMARKER]On February 20, 2005, the parties entered into a settlement agreement.[SENTMARKER]The settlement is subject to court approval."
266,"On August 22, 2007, the plaintiff filed suit against the County of Lancaster and the Lancaster County Prison Board in the United States District Court for the Eastern District of Pennsylvania.[SENTMARKER]He alleged that his constitutional rights were violated when he was strip searched in front of other inmates upon arrival at the Lancaster County Prison after being arrested for a parole violation.[SENTMARKER]He sought class action certification, declaratory judgment, a preliminary and permanent injunction, and punitive damages.[SENTMARKER]The parties entered a settlement agreement with the court on July 29, 2009 that affirmed a new policy of not strip searching detainees arrested for minor offenses and created a fund to compensate those who had been strip searched.[SENTMARKER]The case ended on April 9, 2010 when the court certified the class and granted final approval to the settlement.","On November 11, 2007, a class action lawsuit was filed in the U.S. District Court for the Eastern District of Pennsylvania against the County of Lancaster and the Lancaster County Prison Board.[SENTMARKER]The plaintiffs alleged that the defendants violated the plaintiffs' constitutional rights under color of state law by unconstitutionally strip searching them and others similarly situated upon entry into the county prison.[SENTMARKER]The parties agreed to a declaratory judgment that declared the strip search policy of the county and the prison board to be unconstitutional.[SENTMARKER]On April 6, 2009, the parties entered into a settlement agreement.[SENTMARKER]The terms of the settlement are confidential."
267,"Plaintiff, a county jail inmate who suffered scarring and isolation from multiple MRSA infections was successful in obtaining a settlement against county defendants for their alleged failure to implement appropriate quarantine protocols and correct medical care, and for maintaining unsanitary conditions at the jail.","Plaintiff filed this suit on behalf of an inmate who contracted multiple cases of MRSA at the prison.[SENTMARKER]The suit alleged that the prison had a pattern and practice of failing to adequately treat inmates who require medical care.[SENTMARKER]As a result of this conduct, Plaintiff suffered the embarrassment, immense pain, bumps and scarring associated with contracting MRSA."
268,"This class action case was brought by prisoners of the Dauphin County Prison against the County of Dauphin, PA, seeking monetary, declaratory, and injunctive relief for conducting unconstitutional and unnecessary strip searches upon all persons placed in the Dauphin County Prison, as of September 16, 2005.[SENTMARKER]The case was settled in 2009, resulting in monetary and injunctive relief granted.","On or about September 13, 2007, Ms. McCormick was arrested and placed in the Dauphin County Prison for failing to pay parkin g tickets in the City of Harrisburg.[SENTMARKER]These searches are patently illegal and unnecessary.[SENTMARKER]This case was commenced in September 2007 by the filing of a complaint."
269,"The ACLU of Pennsylvania filed this class action suit on behalf of pretrial detainees in a PA jail with subclasses of those who were at a heightened risk of contracting COVID-19.[SENTMARKER]The complaint alleged that the conditions in the jail failed to meet CDC recommendations and amounted to a violation of the Americans with Disabilities Act and the Fourteenth Amendment.[SENTMARKER]The plaintiffs filed a motion for a preliminary injunction on April 9, 2020 seeking immediate release from ACJ.[SENTMARKER]The parties then began working on a consent order to implement public health measures to mitigate the impact of COVID-19 in the jail, which was approved by the court on May 27.[SENTMARKER]The consent order was extended on August 24 and the plaintiffs habeas and ADA claims remain in dispute.[SENTMARKER]The case is ongoing.","On April 7, 2020, the plaintiffs filed this suit in the U.S. District Court for the Western District of Pennsylvania against the Allegheny County Jail, alleging violations of their rights under the Fourteenth Amendment to the United States Constitution and the Americans with Disabilities Act.[SENTMARKER]The plaintiffs alleged that the defendants failed to implement the basic procedures to minimize the spread of COVID-19, even greater than other non-carceral institutions, in violation of their constitutional rights.[SENTMARKER]The parties filed a proposed consent order in which the parties agreed to resolve the plaintiffs’ motion for preliminary injunction.[SENTMARKER]The consent order is subject to court approval."
270,"On October 6, 2010, the Prison Legal News filed a class-action lawsuit in the U.S. District Court for South Carolina under 42 U.S.C. § 1983 against Berkeley County.[SENTMARKER]The plaintiffs, represented by public interest counsel, asked the court for declaratory and injunctive relief, as well as damages, claiming that the defendants' unlawfully censored and excluded the plaintiff's books and magazines protected by the 1st and 14th Amendments, which are sent to individual subscribers in custody at the Berkeley County Detention Center (BCDC).[SENTMARKER]On May 3, 2011, the United States filed a Complaint in intervention pursuant to the Violent Crime Control and Law Enforcement Act, 42 U.S.C. § 14141, and the Religious Land Use and Institutionalized 42 Persons Act of 2000, U.S.C. § 2000cc.[SENTMARKER]On January 13, 2012, Judge Sol Blatt, Jr., issued the consent injunction requiring the defendants to implement new policies regarding incoming mail and access to religious materials.","On October 4, 2014, the Human Rights Defense Center (HRD Center) and Prison Legal News (PLN) filed this suit in the U.S. District Court for the District of South Carolina against the Berkeley County Sheriff's Office (BCSO).[SENTMARKER]The complaint alleged that the sheriff's office violated the First Amendment and the Religious Land Use and Institutionalized Persons Act of 2000 (RLUIPA) by banning books and magazines sent by mail from the detention center.[SENTMARKER]According to the complaint, the defendants violated the RLUIPA by unlawfully impeding the religious exercise of BCDC prisoners whose religious exercise requires access to materials other than the Bible.[SENTMARKER]The defendants agreed to a Consent Injunction, which was signed by Judge Sol Blatt, Jr. on 4/29/2014."
271,This 2017 class action lawsuit was brought by a former inmate of the Davidson County Jail in the U.S. District for the Middle District of Tennessee.[SENTMARKER]The plaintiff alleged that the defendant violated the Eighth and Fourteenth Amendments in failing to prevent the spread of scabies in the prison.[SENTMARKER]The case is ongoing.[SENTMARKER]The plaintiff has not yet filed a motion to certify class.,"This class action was brought in the U.S. District Court for the Middle District of Tennessee on behalf of a former inmate who was housed in the Defendant's facility in Davidson County.[SENTMARKER]The Plaintiff alleged that the Defendant failed to treat him for scabies because he was close to the Warden, who was infested with scabies for many months.[SENTMARKER]He also alleged that his treatment violated the Eighth Amendment's prohibition against cruel and unusual punishment.[SENTMARKER]The Court found that the policies, practices, procedures, conditions and customs of the Defendant violated the rights of the Plaintiff class members as secured by the Eighth and Fourteenth Amendments."
272,"A deaf prisoner of the El Paso County jails sued the County in the United States District Court for the Western District of Texas for their failure to accommodate his disability.[SENTMARKER]He was held for eleven days without access to an attorney or an interpreter, in violation of the Americans With disabilities Act ans Section 504 of the Rehabilitation Act. A private settlement was reached in July 2012 which, according to reports, required installation of videophones in the County jails.[SENTMARKER]We have no further information about this case.","Plaintiff filed this suit in the U.S. District Court for the Western District of Texas against El Paso County, Texas, alleging that the County violated the Americans with Disabilities Act (ADA), the Rehabilitation Act, and Chapter 121 by failing to reasonably accommodate his requests for an interpreter while he was being held in the Annex Jail.[SENTMARKER]The complaint alleged that when Mr. Rodriguez arrived at the County Courthouse for an interview, no interpreter was present.[SENTMARKER]The County is a ""recipient of federal funding"" under Section 504 of the ADA.[SENTMARKER]Therefore, the County is entitled to relief under this provision."
273,"On March 15, 2012, a group of juvenile prisoners filed a lawsuit in the Middle District of Florida against the Polk County Jail, claiming violations of their physical and medical care.[SENTMARKER]Preliminary injunction was denied.[SENTMARKER]Class certification was granted.[SENTMARKER]A bench trial was held on from November 18, 2013 to December 18, 2013.[SENTMARKER]On April 16, 2015, Judge Merryday issued an opinion denying relief to the plaintiffs, holding that plaintiffs failed to show defendants' violations of their constitutional rights.[SENTMARKER]The case closed in 2016.","On March 5, 2012, J.D.[SENTMARKER]Detainees suspected of contemplating suicide were sprayed in the face by guards at the Central County Jail in Polk County, Florida.[SENTMARKER]The plaintiffs filed this suit in the U.S. District Court for the Middle District of Florida, alleging that the sprayed detainees were denied medical care, denied recreation, and denied access to their medication.[SENTMARKER]The court granted the plaintiffs' motion for a preliminary injunction on December 18, 2013, and the case was dismissed on April 16, 2015."
274,"Three minors represented by the Southern Poverty Law Center, Florida Justice Institute, Inc., and Florida Legal Services, filed suit on September 4, 2019 in the Northern District of Florida against the Florida Department of Juvenile Justice (DJJ).[SENTMARKER]Plaintiffs sought class action certification to represent children subject to solitary confinement in DJJ-run detention centers.[SENTMARKER]The defendant's summary judgment motion on the merits was denied on December 6, 2019, and the case is in ongoing mediation talks.","On December 6, 2018, the Florida Department of Juvenile Justice (DJJ) was sued in the U.S. District Court for the Middle District of Florida by a group of children who had been placed in solitary confinement in one of the DJJ's secure detention centers (Secure Detention Center) throughout the state.[SENTMARKER]The children's complaint alleged that the children had been deprived of their right to a private, non-discriminatory, and non-compulsory life, and that the detention center's solitary confinement violated their constitutional rights.[SENTMARKER]The case was settled on December 6, 2019, and the children were released from solitary confinement."
275,"DOJ's investigation of the conditions at the Hawaii Youth Correctional Facility (""HYCF"") in August 2004 concluded that the facility lacked policies to protect the detained youth from abuse or suicide risks.[SENTMARKER]DOJ recommended reforms at the HYCF through a Memorandum of Agreement (MOA) that was executed by the parties.[SENTMARKER]This case was brought to retain jurisdiction of the district court of Hawaii's jurisdiction over the case until a final order is entered to dismiss the case with prejudice.","This litigation was brought pursuant to the Violent Crime Control and Law Enforcement Act of 1994, 42 U.S.C.  14141, and the Hawai'i Youth Correctional Facility (HYCF) Memorandum of Agreement between the United States and the State of Hawaii.[SENTMARKER]The complaint alleged that the State failed to protect youth from self harm and physical abuse by staff at the facility in Kailua, Hawaii.[SENTMARKER]In addition, the complaint alleged the State did not adequately protect the youth from assault by other youth.[SENTMARKER]The parties entered into an extension agreement to resolve the litigation.[SENTMARKER]The extension agreement was entered into on October 2, 2010.[SENTMARKER]The parties agreed to a joint stipulation to dismiss with prejudice if the State maintained compliance."
276,"The Attorney General filed suit against the state of Ohio, its governor, the director of youth services, and the superintendents of its juvenile correctional facilities pursuant to 42 U.S.C. § 14141 for an alleged pattern or practice of violating the rights of juvenile detainees under the 14th Amendment, the Individuals with Disabilities Education Act (IDEA), and the Rehabilitation Act of 1973.[SENTMARKER]The United States alleged that Ohio failed to protect the youth at its facilities from harm and undue risk of harm, failed to meet their medical and mental health needs, and failed to provide adequate special education services.[SENTMARKER]The suit was filed as a result of Department of Justice (DOJ) investigations into the conditions of confinement at the Scioto and Marion centers that began in 2005.[SENTMARKER]The Marion facility closed soon after the first injunction in this case.[SENTMARKER]Ohio achieved substantial compliance in 2015, and the consent decree was terminated on December 3, 2015.","On March 16, 2005, the United States Department of Justice (""DOJ"") notified the State of Ohio of its intent to investigate conditions of confinement at the Scioto Juvenile Correctional Facility (""Scioto"") in Delaware, Ohio, pursuant to the Civil Rights of Institutionalized Persons Act, 42 U.S.C.  1997, and the Violent Crime Control and Law Enforcement Act, 1994.42 U.N.[SENTMARKER]The State filed a PLRA motion on December 18, 2013, to terminate this case as an interested party consent decree.[SENTMARKER]In particular, the DOJ alleged a pattern or practice of failing to protect youths from harm and undue risk of harm, meet youth medical needs, provide adequate mental health care, and offer adequate special education services, in violation of federal constitutional and statutory rights.[SENTMARKER]The case is now closed."
277,"The juvenile plaintiff brought suit against the Minnehaha County Juvenile Detention Center, challenging the center's policy of strip-searching all juveniles admitted to the Detention Center, without any reasonable suspicion that the juveniles were concealing weapons or contraband.[SENTMARKER]The Eighth Circuit overturned the District Court's ruling, holding that the search of the named plaintiff did not violate the Fourth Amendment.[SENTMARKER]On remand, the parties reached a monetary settlement before having to relitigate the case.","The Eighth Circuit held that the Minnehaha County Juvenile Detention Center's blanket policy of strip searching minors arrested for minor or nonfelony offenses, without any individualized determination of reasonable suspicion that the individual was or was likely to be carrying or concealing weapons, drugs or other contraband, violated the Fourth Amendment.[SENTMARKER]The Second Circuit did not evaluate the facial validity of the policy, but held that two of the strip searches involved in that case did not violate Fourth Amendment rights.[SENTMARKER]The Court of Appeals reversed and remanded the case."
278,"This suit was filed May 7, 2004.[SENTMARKER]Plaintiffs were individuals who had been involuntarily civilly confined pursuant to Sexually Violent Predator Act into the custody of the Florida Dept.[SENTMARKER]of Children and Families in the Florida Civil Commitment Center (FCCC).[SENTMARKER]Plaintiffs argued that the State failed to provide adequate rehabilitive treatment necessary for their eventual recovery and release.[SENTMARKER]In November 2009, after five years of discovery and motions practice, the case settled, with the State agreeing to implement policies that addressed all the plaintiffs' allegations.","On May 7, 2004, a class action lawsuit was filed in the U.S. District Court for the Middle District of Florida against the Florida Department of Children and Families and the Florida Civil Commitment Center (FCCC) alleging that the FCCC violated the constitutional rights of sex offenders by failing to provide them with individualized treatment to address their mental illnesses.[SENTMARKER]The complaint alleged that sex offenders were confined to the care and custody of the State of Florida, and that the treatment was inadequate.[SENTMARKER]The parties negotiated a Final Action Plan, which was approved by the court in 2009, and the parties settled the case in 2010.[SENTMARKER]The parties did not resolve the issue of individual treatment."
